	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
1	1.6667e-004	2.4029e-002	2.4029e-002	2.4029e-002	
2	3.3333e-004	7.3423e-002	7.3423e-002	7.3423e-002	
3	5.0003e-004	0.1202	0.1202	0.1202	
4	6.6673e-004	0.16587	0.16587	0.16587	
5	8.3343e-004	0.23054	0.23054	0.23054	
6	1.0001e-003	0.30232	0.30232	0.30232	
7	1.1668e-003	0.3466	0.3466	0.3466	
8	1.3335e-003	0.35955	0.35955	0.35955	
9	1.5002e-003	0.35702	0.35702	0.35702	
10	1.6669e-003	0.33698	0.33698	0.33698	
11	1.8336e-003	0.29111	0.29111	0.29111	
12	2.0003e-003	0.22778	0.22778	0.22778	
13	2.167e-003	0.16559	0.16559	0.16559	
14	2.3337e-003	0.11376	0.11376	0.11376	
15	2.5004e-003	7.3081e-002	7.3081e-002	7.3081e-002	
16	2.6671e-003	4.9842e-002	4.9842e-002	4.9842e-002	
17	2.8338e-003	5.2441e-002	5.2441e-002	5.2441e-002	
18	3.0005e-003	7.9868e-002	7.9868e-002	7.9868e-002	
19	3.1672e-003	0.12251	0.12251	0.12251	
20	3.3339e-003	0.17303	0.17303	0.17303	
21	3.5006e-003	0.22814	0.22814	0.22814	
22	3.6673e-003	0.27927	0.27927	0.27927	
23	3.834e-003	0.31386	0.31386	0.31386	
24	4.0007e-003	0.32712	0.32712	0.32712	
25	4.1674e-003	0.32275	0.32275	0.32275	
26	4.3341e-003	0.30224	0.30224	0.30224	
27	4.5008e-003	0.26422	0.26422	0.26422	
28	4.6675e-003	0.21504	0.21504	0.21504	
29	4.8342e-003	0.16783	0.16783	0.16783	
30	5.0009e-003	0.13019	0.13019	0.13019	
31	5.1676e-003	0.10307	0.10307	0.10307	
32	5.3343e-003	9.0242e-002	9.0242e-002	9.0242e-002	
33	5.501e-003	9.7552e-002	9.7552e-002	9.7552e-002	
34	5.6677e-003	0.12281	0.12281	0.12281	
35	5.8344e-003	0.15652	0.15652	0.15652	
36	6.0011e-003	0.19228	0.19228	0.19228	
37	6.1678e-003	0.22808	0.22808	0.22808	
