	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
1	1.6667e-004	2.4028e-002	2.4028e-002	2.4028e-002	
2	3.3333e-004	7.3419e-002	7.3419e-002	7.3419e-002	
3	5.0003e-004	0.12019	0.12019	0.12019	
4	6.6673e-004	0.16585	0.16585	0.16585	
5	8.3343e-004	0.2305	0.2305	0.2305	
6	1.0001e-003	0.30224	0.30224	0.30224	
7	1.1668e-003	0.34648	0.34648	0.34648	
8	1.3335e-003	0.35936	0.35936	0.35936	
9	1.5002e-003	0.35675	0.35675	0.35675	
10	1.6669e-003	0.33663	0.33663	0.33663	
11	1.8336e-003	0.29066	0.29066	0.29066	
12	2.0003e-003	0.2272	0.2272	0.2272	
13	2.167e-003	0.16488	0.16488	0.16488	
14	2.3337e-003	0.11293	0.11293	0.11293	
15	2.5004e-003	7.2107e-002	7.2107e-002	7.2107e-002	
16	2.6671e-003	4.8727e-002	4.8727e-002	4.8727e-002	
17	2.8338e-003	5.1184e-002	5.1184e-002	5.1184e-002	
18	3.0005e-003	7.8466e-002	7.8466e-002	7.8466e-002	
19	3.1672e-003	0.12096	0.12096	0.12096	
20	3.3339e-003	0.17132	0.17132	0.17132	
21	3.5006e-003	0.22627	0.22627	0.22627	
22	3.6673e-003	0.27722	0.27722	0.27722	
23	3.834e-003	0.31163	0.31163	0.31163	
24	4.0007e-003	0.32468	0.32468	0.32468	
25	4.1674e-003	0.3201	0.3201	0.3201	
26	4.3341e-003	0.29936	0.29936	0.29936	
27	4.5008e-003	0.2611	0.2611	0.2611	
28	4.6675e-003	0.21167	0.21167	0.21167	
29	4.8342e-003	0.1642	0.1642	0.1642	
30	5.0009e-003	0.1263	0.1263	0.1263	
31	5.1676e-003	9.8907e-002	9.8907e-002	9.8907e-002	
32	5.3343e-003	8.5805e-002	8.5805e-002	8.5805e-002	
33	5.501e-003	9.2835e-002	9.2835e-002	9.2835e-002	
34	5.6677e-003	0.11781	0.11781	0.11781	
35	5.8344e-003	0.15123	0.15123	0.15123	
36	6.0011e-003	0.1867	0.1867	0.1867	
37	6.1678e-003	0.22219	0.22219	0.22219	
38	6.3345e-003	0.25265	0.25265	0.25265	
39	6.5012e-003	0.26995	0.26995	0.26995	
40	6.6679e-003	0.27077	0.27077	0.27077	
41	6.8346e-003	0.25823	0.25823	0.25823	
42	7.0013e-003	0.23584	0.23584	0.23584	
43	7.168e-003	0.20567	0.20567	0.20567	
44	7.3347e-003	0.17263	0.17263	0.17263	
45	7.5014e-003	0.14471	0.14471	0.14471	
46	7.6681e-003	0.12734	0.12734	0.12734	
47	7.8348e-003	0.12111	0.12111	0.12111	
48	8.0015e-003	0.1256	0.1256	0.1256	
49	8.1682e-003	0.14131	0.14131	0.14131	
50	8.3349e-003	0.16606	0.16606	0.16606	
51	8.5016e-003	0.19331	0.19331	0.19331	
52	8.6683e-003	0.21638	0.21638	0.21638	
53	8.835e-003	0.2319	0.2319	0.2319	
54	9.0017e-003	0.23812	0.23812	0.23812	
55	9.1684e-003	0.23309	0.23309	0.23309	
56	9.3351e-003	0.21668	0.21668	0.21668	
57	9.5018e-003	0.19222	0.19222	0.19222	
58	9.6685e-003	0.16462	0.16462	0.16462	
59	9.8352e-003	0.13836	0.13836	0.13836	
60	1.0002e-002	0.11797	0.11797	0.11797	
61	1.0169e-002	0.10796	0.10796	0.10796	
62	1.0335e-002	0.11076	0.11076	0.11076	
63	1.0502e-002	0.12545	0.12545	0.12545	
64	1.0669e-002	0.14912	0.14912	0.14912	
65	1.0835e-002	0.17805	0.17805	0.17805	
66	1.1002e-002	0.20736	0.20736	0.20736	
67	1.1169e-002	0.23128	0.23128	0.23128	
68	1.1336e-002	0.24503	0.24503	0.24503	
69	1.1502e-002	0.24611	0.24611	0.24611	
70	1.1669e-002	0.23393	0.23393	0.23393	
71	1.1836e-002	0.20944	0.20944	0.20944	
72	1.2002e-002	0.17584	0.17584	0.17584	
73	1.2169e-002	0.13864	0.13864	0.13864	
74	1.2336e-002	0.10417	0.10417	0.10417	
75	1.2502e-002	7.8e-002	7.8e-002	7.8e-002	
76	1.2669e-002	6.4457e-002	6.4457e-002	6.4457e-002	
77	1.2836e-002	6.6206e-002	6.6206e-002	6.6206e-002	
78	1.3003e-002	8.3265e-002	8.3265e-002	8.3265e-002	
79	1.3169e-002	0.11277	0.11277	0.11277	
80	1.3336e-002	0.14999	0.14999	0.14999	
81	1.3503e-002	0.1893	0.1893	0.1893	
82	1.3669e-002	0.22436	0.22436	0.22436	
83	1.3836e-002	0.24884	0.24884	0.24884	
84	1.4003e-002	0.25816	0.25816	0.25816	
85	1.4169e-002	0.25083	0.25083	0.25083	
86	1.4336e-002	0.22797	0.22797	0.22797	
87	1.4503e-002	0.19254	0.19254	0.19254	
88	1.467e-002	0.1493	0.1493	0.1493	
89	1.4836e-002	0.10476	0.10476	0.10476	
90	1.5003e-002	6.6023e-002	6.6023e-002	6.6023e-002	
91	1.517e-002	3.9178e-002	3.9178e-002	3.9178e-002	
92	1.5336e-002	2.8228e-002	2.8228e-002	2.8228e-002	
93	1.5503e-002	3.4743e-002	3.4743e-002	3.4743e-002	
94	1.567e-002	5.7568e-002	5.7568e-002	5.7568e-002	
95	1.5836e-002	9.2841e-002	9.2841e-002	9.2841e-002	
96	1.6003e-002	0.13476	0.13476	0.13476	
97	1.617e-002	0.17673	0.17673	0.17673	
98	1.6337e-002	0.21227	0.21227	0.21227	
99	1.6503e-002	0.23575	0.23575	0.23575	
100	1.667e-002	0.2433	0.2433	0.2433	
101	1.6837e-002	0.23362	0.23362	0.23362	
102	1.7003e-002	0.20818	0.20818	0.20818	
103	1.717e-002	0.17089	0.17089	0.17089	
104	1.7337e-002	0.12744	0.12744	0.12744	
105	1.7503e-002	8.4517e-002	8.4517e-002	8.4517e-002	
106	1.767e-002	4.8605e-002	4.8605e-002	4.8605e-002	
107	1.7837e-002	2.4868e-002	2.4868e-002	2.4868e-002	
108	1.8004e-002	1.6416e-002	1.6416e-002	1.6416e-002	
109	1.817e-002	2.4003e-002	2.4003e-002	2.4003e-002	
110	1.8337e-002	4.5908e-002	4.5908e-002	4.5908e-002	
111	1.8504e-002	7.8131e-002	7.8131e-002	7.8131e-002	
112	1.867e-002	0.11511	0.11511	0.11511	
113	1.8837e-002	0.15076	0.15076	0.15076	
114	1.9004e-002	0.17945	0.17945	0.17945	
115	1.917e-002	0.19677	0.19677	0.19677	
116	1.9337e-002	0.20013	0.20013	0.20013	
117	1.9504e-002	0.18924	0.18924	0.18924	
118	1.9671e-002	0.1661	0.1661	0.1661	
119	1.9837e-002	0.13456	0.13456	0.13456	
120	2.0004e-002	9.965e-002	9.965e-002	9.965e-002	
121	2.0171e-002	6.6843e-002	6.6843e-002	6.6843e-002	
122	2.0337e-002	4.1128e-002	4.1128e-002	4.1128e-002	
123	2.0504e-002	2.6138e-002	2.6138e-002	2.6138e-002	
124	2.0671e-002	2.3532e-002	2.3532e-002	2.3532e-002	
125	2.0837e-002	3.2815e-002	3.2815e-002	3.2815e-002	
126	2.1004e-002	5.1554e-002	5.1554e-002	5.1554e-002	
127	2.1171e-002	7.5929e-002	7.5929e-002	7.5929e-002	
128	2.1338e-002	0.10147	0.10147	0.10147	
129	2.1504e-002	0.12378	0.12378	0.12378	
130	2.1671e-002	0.13908	0.13908	0.13908	
131	2.1838e-002	0.1448	0.1448	0.1448	
132	2.2004e-002	0.14005	0.14005	0.14005	
133	2.2171e-002	0.12592	0.12592	0.12592	
134	2.2338e-002	0.10519	0.10519	0.10519	
135	2.2504e-002	8.1628e-002	8.1628e-002	8.1628e-002	
136	2.2671e-002	5.9221e-002	5.9221e-002	5.9221e-002	
137	2.2838e-002	4.1577e-002	4.1577e-002	4.1577e-002	
138	2.3005e-002	3.1373e-002	3.1373e-002	3.1373e-002	
139	2.3171e-002	2.9883e-002	2.9883e-002	2.9883e-002	
140	2.3338e-002	3.673e-002	3.673e-002	3.673e-002	
141	2.3505e-002	5.0007e-002	5.0007e-002	5.0007e-002	
142	2.3671e-002	6.6704e-002	6.6704e-002	6.6704e-002	
143	2.3838e-002	8.3281e-002	8.3281e-002	8.3281e-002	
144	2.4005e-002	9.6309e-002	9.6309e-002	9.6309e-002	
145	2.4171e-002	0.10307	0.10307	0.10307	
146	2.4338e-002	0.10204	0.10204	0.10204	
147	2.4505e-002	9.3121e-002	9.3121e-002	9.3121e-002	
148	2.4672e-002	7.7659e-002	7.7659e-002	7.7659e-002	
149	2.4838e-002	5.824e-002	5.824e-002	5.824e-002	
150	2.5005e-002	3.8239e-002	3.8239e-002	3.8239e-002	
151	2.5172e-002	2.1203e-002	2.1203e-002	2.1203e-002	
152	2.5338e-002	1.0175e-002	1.0175e-002	1.0175e-002	
153	2.5505e-002	7.1123e-003	7.1123e-003	7.1123e-003	
154	2.5672e-002	1.2486e-002	1.2486e-002	1.2486e-002	
155	2.5838e-002	2.5173e-002	2.5173e-002	2.5173e-002	
156	2.6005e-002	4.2678e-002	4.2678e-002	4.2678e-002	
157	2.6172e-002	6.161e-002	6.161e-002	6.161e-002	
158	2.6339e-002	7.8299e-002	7.8299e-002	7.8299e-002	
159	2.6505e-002	8.9407e-002	8.9407e-002	8.9407e-002	
160	2.6672e-002	9.2475e-002	9.2475e-002	9.2475e-002	
161	2.6839e-002	8.6352e-002	8.6352e-002	8.6352e-002	
162	2.7005e-002	7.1434e-002	7.1434e-002	7.1434e-002	
163	2.7172e-002	4.9677e-002	4.9677e-002	4.9677e-002	
164	2.7339e-002	2.4328e-002	2.4328e-002	2.4328e-002	
165	2.7505e-002	-6.0776e-004	-6.0776e-004	-6.0776e-004	
166	2.7672e-002	-2.1081e-002	-2.1081e-002	-2.1081e-002	
167	2.7839e-002	-3.3748e-002	-3.3748e-002	-3.3748e-002	
168	2.8006e-002	-3.6555e-002	-3.6555e-002	-3.6555e-002	
169	2.8172e-002	-2.9076e-002	-2.9076e-002	-2.9076e-002	
170	2.8339e-002	-1.2582e-002	-1.2582e-002	-1.2582e-002	
171	2.8506e-002	1.0135e-002	1.0135e-002	1.0135e-002	
172	2.8672e-002	3.5182e-002	3.5182e-002	3.5182e-002	
173	2.8839e-002	5.8191e-002	5.8191e-002	5.8191e-002	
174	2.9006e-002	7.5052e-002	7.5052e-002	7.5052e-002	
175	2.9172e-002	8.2617e-002	8.2617e-002	8.2617e-002	
176	2.9339e-002	7.9223e-002	7.9223e-002	7.9223e-002	
177	2.9506e-002	6.4976e-002	6.4976e-002	6.4976e-002	
178	2.9673e-002	4.1742e-002	4.1742e-002	4.1742e-002	
179	2.9839e-002	1.286e-002	1.286e-002	1.286e-002	
180	3.0006e-002	-1.7359e-002	-1.7359e-002	-1.7359e-002	
181	3.0173e-002	-4.4307e-002	-4.4307e-002	-4.4307e-002	
182	3.0339e-002	-6.384e-002	-6.384e-002	-6.384e-002	
183	3.0506e-002	-7.3002e-002	-7.3002e-002	-7.3002e-002	
184	3.0673e-002	-7.056e-002	-7.056e-002	-7.056e-002	
185	3.0839e-002	-5.7208e-002	-5.7208e-002	-5.7208e-002	
