	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
186	3.1006e-002	-3.5414e-002	-3.5414e-002	-3.5414e-002	
187	3.1173e-002	-8.9796e-003	-8.9796e-003	-8.9796e-003	
188	3.134e-002	1.7597e-002	1.7597e-002	1.7597e-002	
189	3.1506e-002	3.9824e-002	3.9824e-002	3.9824e-002	
190	3.1673e-002	5.3908e-002	5.3908e-002	5.3908e-002	
191	3.184e-002	5.7352e-002	5.7352e-002	5.7352e-002	
192	3.2006e-002	4.9369e-002	4.9369e-002	4.9369e-002	
193	3.2173e-002	3.1028e-002	3.1028e-002	3.1028e-002	
194	3.234e-002	5.0949e-003	5.0949e-003	5.0949e-003	
195	3.2506e-002	-2.4431e-002	-2.4431e-002	-2.4431e-002	
196	3.2673e-002	-5.2986e-002	-5.2986e-002	-5.2986e-002	
197	3.284e-002	-7.621e-002	-7.621e-002	-7.621e-002	
198	3.3007e-002	-9.0671e-002	-9.0671e-002	-9.0671e-002	
199	3.3173e-002	-9.4432e-002	-9.4432e-002	-9.4432e-002	
200	3.334e-002	-8.7344e-002	-8.7344e-002	-8.7344e-002	
201	3.3507e-002	-7.1034e-002	-7.1034e-002	-7.1034e-002	
202	3.3673e-002	-4.861e-002	-4.861e-002	-4.861e-002	
203	3.384e-002	-2.4135e-002	-2.4135e-002	-2.4135e-002	
204	3.4007e-002	-1.9578e-003	-1.9578e-003	-1.9578e-003	
205	3.4173e-002	1.4006e-002	1.4006e-002	1.4006e-002	
206	3.434e-002	2.0924e-002	2.0924e-002	2.0924e-002	
207	3.4507e-002	1.7518e-002	1.7518e-002	1.7518e-002	
208	3.4674e-002	4.2505e-003	4.2505e-003	4.2505e-003	
209	3.484e-002	-1.6773e-002	-1.6773e-002	-1.6773e-002	
210	3.5007e-002	-4.2174e-002	-4.2174e-002	-4.2174e-002	
211	3.5174e-002	-6.7861e-002	-6.7861e-002	-6.7861e-002	
212	3.534e-002	-8.9723e-002	-8.9723e-002	-8.9723e-002	
213	3.5507e-002	-0.10433	-0.10433	-0.10433	
214	3.5674e-002	-0.10956	-0.10956	-0.10956	
215	3.584e-002	-0.10492	-0.10492	-0.10492	
216	3.6007e-002	-9.1656e-002	-9.1656e-002	-9.1656e-002	
217	3.6174e-002	-7.2456e-002	-7.2456e-002	-7.2456e-002	
218	3.6341e-002	-5.0975e-002	-5.0975e-002	-5.0975e-002	
219	3.6507e-002	-3.1212e-002	-3.1212e-002	-3.1212e-002	
220	3.6674e-002	-1.6852e-002	-1.6852e-002	-1.6852e-002	
221	3.6841e-002	-1.0671e-002	-1.0671e-002	-1.0671e-002	
222	3.7007e-002	-1.4055e-002	-1.4055e-002	-1.4055e-002	
223	3.7174e-002	-2.6749e-002	-2.6749e-002	-2.6749e-002	
224	3.7341e-002	-4.6866e-002	-4.6866e-002	-4.6866e-002	
225	3.7507e-002	-7.1205e-002	-7.1205e-002	-7.1205e-002	
226	3.7674e-002	-9.5799e-002	-9.5799e-002	-9.5799e-002	
227	3.7841e-002	-0.11661	-0.11661	-0.11661	
228	3.8008e-002	-0.13024	-0.13024	-0.13024	
229	3.8174e-002	-0.13453	-0.13453	-0.13453	
230	3.8341e-002	-0.12888	-0.12888	-0.12888	
231	3.8508e-002	-0.11444	-0.11444	-0.11444	
232	3.8674e-002	-9.3827e-002	-9.3827e-002	-9.3827e-002	
233	3.8841e-002	-7.0772e-002	-7.0772e-002	-7.0772e-002	
234	3.9008e-002	-4.9446e-002	-4.9446e-002	-4.9446e-002	
235	3.9174e-002	-3.3784e-002	-3.3784e-002	-3.3784e-002	
236	3.9341e-002	-2.6814e-002	-2.6814e-002	-2.6814e-002	
237	3.9508e-002	-3.0143e-002	-3.0143e-002	-3.0143e-002	
238	3.9675e-002	-4.3677e-002	-4.3677e-002	-4.3677e-002	
239	3.9841e-002	-6.5605e-002	-6.5605e-002	-6.5605e-002	
240	4.0008e-002	-9.2683e-002	-9.2683e-002	-9.2683e-002	
241	4.0175e-002	-0.12075	-0.12075	-0.12075	
242	4.0341e-002	-0.14539	-0.14539	-0.14539	
243	4.0508e-002	-0.16272	-0.16272	-0.16272	
244	4.0675e-002	-0.16997	-0.16997	-0.16997	
245	4.0841e-002	-0.16606	-0.16606	-0.16606	
246	4.1008e-002	-0.15168	-0.15168	-0.15168	
247	4.1175e-002	-0.12929	-0.12929	-0.12929	
248	4.1342e-002	-0.10264	-0.10264	-0.10264	
249	4.1508e-002	-7.6186e-002	-7.6186e-002	-7.6186e-002	
250	4.1675e-002	-5.4403e-002	-5.4403e-002	-5.4403e-002	
251	4.1842e-002	-4.1059e-002	-4.1059e-002	-4.1059e-002	
252	4.2008e-002	-3.8621e-002	-3.8621e-002	-3.8621e-002	
253	4.2175e-002	-4.7837e-002	-4.7837e-002	-4.7837e-002	
254	4.2342e-002	-6.7593e-002	-6.7593e-002	-6.7593e-002	
255	4.2508e-002	-9.506e-002	-9.506e-002	-9.506e-002	
256	4.2675e-002	-0.12615	-0.12615	-0.12615	
257	4.2842e-002	-0.15617	-0.15617	-0.15617	
258	4.3009e-002	-0.1806	-0.1806	-0.1806	
259	4.3175e-002	-0.19582	-0.19582	-0.19582	
260	4.3342e-002	-0.19969	-0.19969	-0.19969	
261	4.3509e-002	-0.19183	-0.19183	-0.19183	
262	4.3675e-002	-0.17374	-0.17374	-0.17374	
263	4.3842e-002	-0.14847	-0.14847	-0.14847	
264	4.4009e-002	-0.12018	-0.12018	-0.12018	
265	4.4175e-002	-9.349e-002	-9.349e-002	-9.349e-002	
266	4.4342e-002	-7.27e-002	-7.27e-002	-7.27e-002	
267	4.4509e-002	-6.1161e-002	-6.1161e-002	-6.1161e-002	
268	4.4676e-002	-6.0747e-002	-6.0747e-002	-6.0747e-002	
269	4.4842e-002	-7.1577e-002	-7.1577e-002	-7.1577e-002	
270	4.5009e-002	-9.202e-002	-9.202e-002	-9.202e-002	
271	4.5176e-002	-0.11896	-0.11896	-0.11896	
272	4.5342e-002	-0.14832	-0.14832	-0.14832	
273	4.5509e-002	-0.1757	-0.1757	-0.1757	
274	4.5676e-002	-0.19712	-0.19712	-0.19712	
275	4.5842e-002	-0.20961	-0.20961	-0.20961	
276	4.6009e-002	-0.21168	-0.21168	-0.21168	
277	4.6176e-002	-0.20352	-0.20352	-0.20352	
278	4.6343e-002	-0.18687	-0.18687	-0.18687	
279	4.6509e-002	-0.16475	-0.16475	-0.16475	
280	4.6676e-002	-0.14093	-0.14093	-0.14093	
281	4.6843e-002	-0.11933	-0.11933	-0.11933	
282	4.7009e-002	-0.10338	-0.10338	-0.10338	
283	4.7176e-002	-9.5531e-002	-9.5531e-002	-9.5531e-002	
284	4.7343e-002	-9.6848e-002	-9.6848e-002	-9.6848e-002	
285	4.7509e-002	-0.1069	-0.1069	-0.1069	
286	4.7676e-002	-0.12387	-0.12387	-0.12387	
287	4.7843e-002	-0.14491	-0.14491	-0.14491	
288	4.801e-002	-0.16663	-0.16663	-0.16663	
289	4.8176e-002	-0.18574	-0.18574	-0.18574	
290	4.8343e-002	-0.19949	-0.19949	-0.19949	
291	4.851e-002	-0.20619	-0.20619	-0.20619	
292	4.8676e-002	-0.20535	-0.20535	-0.20535	
293	4.8843e-002	-0.19773	-0.19773	-0.19773	
294	4.901e-002	-0.18519	-0.18519	-0.18519	
295	4.9176e-002	-0.17027	-0.17027	-0.17027	
296	4.9343e-002	-0.1558	-0.1558	-0.1558	
297	4.951e-002	-0.14435	-0.14435	-0.14435	
298	4.9677e-002	-0.13785	-0.13785	-0.13785	
299	4.9843e-002	-0.13727	-0.13727	-0.13727	
300	5.001e-002	-0.14247	-0.14247	-0.14247	
301	5.0177e-002	-0.15229	-0.15229	-0.15229	
302	5.0343e-002	-0.1648	-0.1648	-0.1648	
303	5.051e-002	-0.17763	-0.17763	-0.17763	
304	5.0677e-002	-0.18851	-0.18851	-0.18851	
305	5.0843e-002	-0.1956	-0.1956	-0.1956	
306	5.101e-002	-0.19788	-0.19788	-0.19788	
307	5.1177e-002	-0.19527	-0.19527	-0.19527	
308	5.1344e-002	-0.18865	-0.18865	-0.18865	
309	5.151e-002	-0.17965	-0.17965	-0.17965	
310	5.1677e-002	-0.17033	-0.17033	-0.17033	
311	5.1844e-002	-0.16279	-0.16279	-0.16279	
312	5.201e-002	-0.15879	-0.15879	-0.15879	
313	5.2177e-002	-0.15941	-0.15941	-0.15941	
314	5.2344e-002	-0.16484	-0.16484	-0.16484	
315	5.251e-002	-0.1743	-0.1743	-0.1743	
316	5.2677e-002	-0.18619	-0.18619	-0.18619	
317	5.2844e-002	-0.19838	-0.19838	-0.19838	
318	5.3011e-002	-0.20859	-0.20859	-0.20859	
319	5.3177e-002	-0.21485	-0.21485	-0.21485	
320	5.3344e-002	-0.21581	-0.21581	-0.21581	
321	5.3511e-002	-0.2111	-0.2111	-0.2111	
322	5.3677e-002	-0.20135	-0.20135	-0.20135	
323	5.3844e-002	-0.18814	-0.18814	-0.18814	
324	5.4011e-002	-0.17373	-0.17373	-0.17373	
325	5.4177e-002	-0.16072	-0.16072	-0.16072	
326	5.4344e-002	-0.15159	-0.15159	-0.15159	
327	5.4511e-002	-0.14826	-0.14826	-0.14826	
328	5.4678e-002	-0.15174	-0.15174	-0.15174	
329	5.4844e-002	-0.16192	-0.16192	-0.16192	
330	5.5011e-002	-0.17755	-0.17755	-0.17755	
331	5.5178e-002	-0.1964	-0.1964	-0.1964	
332	5.5344e-002	-0.21559	-0.21559	-0.21559	
333	5.5511e-002	-0.23209	-0.23209	-0.23209	
334	5.5678e-002	-0.24316	-0.24316	-0.24316	
335	5.5844e-002	-0.24688	-0.24688	-0.24688	
336	5.6011e-002	-0.24246	-0.24246	-0.24246	
337	5.6178e-002	-0.2304	-0.2304	-0.2304	
338	5.6345e-002	-0.21242	-0.21242	-0.21242	
339	5.6511e-002	-0.19125	-0.19125	-0.19125	
340	5.6678e-002	-0.17015	-0.17015	-0.17015	
341	5.6845e-002	-0.15245	-0.15245	-0.15245	
342	5.7011e-002	-0.14102	-0.14102	-0.14102	
343	5.7178e-002	-0.13778	-0.13778	-0.13778	
344	5.7345e-002	-0.14346	-0.14346	-0.14346	
345	5.7511e-002	-0.15737	-0.15737	-0.15737	
346	5.7678e-002	-0.17756	-0.17756	-0.17756	
347	5.7845e-002	-0.20108	-0.20108	-0.20108	
348	5.8012e-002	-0.22443	-0.22443	-0.22443	
349	5.8178e-002	-0.24413	-0.24413	-0.24413	
350	5.8345e-002	-0.25727	-0.25727	-0.25727	
351	5.8512e-002	-0.2619	-0.2619	-0.2619	
352	5.8678e-002	-0.25738	-0.25738	-0.25738	
353	5.8845e-002	-0.24446	-0.24446	-0.24446	
354	5.9012e-002	-0.22512	-0.22512	-0.22512	
355	5.9178e-002	-0.20231	-0.20231	-0.20231	
356	5.9345e-002	-0.17945	-0.17945	-0.17945	
357	5.9512e-002	-0.15993	-0.15993	-0.15993	
358	5.9679e-002	-0.14658	-0.14658	-0.14658	
359	5.9845e-002	-0.14129	-0.14129	-0.14129	
360	6.0012e-002	-0.14467	-0.14467	-0.14467	
361	6.0179e-002	-0.15604	-0.15604	-0.15604	
362	6.0345e-002	-0.17355	-0.17355	-0.17355	
363	6.0512e-002	-0.19447	-0.19447	-0.19447	
364	6.0679e-002	-0.21565	-0.21565	-0.21565	
365	6.0845e-002	-0.23401	-0.23401	-0.23401	
366	6.1012e-002	-0.24701	-0.24701	-0.24701	
367	6.1179e-002	-0.253	-0.253	-0.253	
368	6.1346e-002	-0.25142	-0.25142	-0.25142	
369	6.1512e-002	-0.24286	-0.24286	-0.24286	
370	6.1679e-002	-0.2289	-0.2289	-0.2289	
371	6.1846e-002	-0.21182	-0.21182	-0.21182	
372	6.2012e-002	-0.19424	-0.19424	-0.19424	
373	6.2179e-002	-0.17868	-0.17868	-0.17868	
374	6.2346e-002	-0.16723	-0.16723	-0.16723	
375	6.2512e-002	-0.16122	-0.16122	-0.16122	
376	6.2679e-002	-0.16107	-0.16107	-0.16107	
377	6.2846e-002	-0.1663	-0.1663	-0.1663	
378	6.3013e-002	-0.17564	-0.17564	-0.17564	
379	6.3179e-002	-0.18735	-0.18735	-0.18735	
380	6.3346e-002	-0.19948	-0.19948	-0.19948	
381	6.3513e-002	-0.21023	-0.21023	-0.21023	
382	6.3679e-002	-0.2182	-0.2182	-0.2182	
383	6.3846e-002	-0.22258	-0.22258	-0.22258	
384	6.4013e-002	-0.22323	-0.22323	-0.22323	
385	6.4179e-002	-0.22058	-0.22058	-0.22058	
386	6.4346e-002	-0.21554	-0.21554	-0.21554	
387	6.4513e-002	-0.20924	-0.20924	-0.20924	
388	6.468e-002	-0.20283	-0.20283	-0.20283	
389	6.4846e-002	-0.19725	-0.19725	-0.19725	
390	6.5013e-002	-0.19308	-0.19308	-0.19308	
391	6.518e-002	-0.19048	-0.19048	-0.19048	
392	6.5346e-002	-0.18924	-0.18924	-0.18924	
393	6.5513e-002	-0.18884	-0.18884	-0.18884	
394	6.568e-002	-0.18868	-0.18868	-0.18868	
395	6.5846e-002	-0.1882	-0.1882	-0.1882	
396	6.6013e-002	-0.18709	-0.18709	-0.18709	
397	6.618e-002	-0.18535	-0.18535	-0.18535	
398	6.6347e-002	-0.18331	-0.18331	-0.18331	
399	6.6513e-002	-0.18157	-0.18157	-0.18157	
400	6.668e-002	-0.18084	-0.18084	-0.18084	
401	6.6847e-002	-0.18175	-0.18175	-0.18175	
402	6.7013e-002	-0.18473	-0.18473	-0.18473	
403	6.718e-002	-0.18978	-0.18978	-0.18978	
404	6.7347e-002	-0.19646	-0.19646	-0.19646	
405	6.7513e-002	-0.20388	-0.20388	-0.20388	
406	6.768e-002	-0.21079	-0.21079	-0.21079	
407	6.7847e-002	-0.2158	-0.2158	-0.2158	
408	6.8014e-002	-0.21762	-0.21762	-0.21762	
409	6.818e-002	-0.21533	-0.21533	-0.21533	
410	6.8347e-002	-0.20857	-0.20857	-0.20857	
411	6.8514e-002	-0.19774	-0.19774	-0.19774	
412	6.868e-002	-0.18395	-0.18395	-0.18395	
413	6.8847e-002	-0.16896	-0.16896	-0.16896	
414	6.9014e-002	-0.15489	-0.15489	-0.15489	
415	6.918e-002	-0.1439	-0.1439	-0.1439	
416	6.9347e-002	-0.13787	-0.13787	-0.13787	
417	6.9514e-002	-0.13805	-0.13805	-0.13805	
418	6.9681e-002	-0.14478	-0.14478	-0.14478	
419	6.9847e-002	-0.15742	-0.15742	-0.15742	
420	7.0014e-002	-0.17433	-0.17433	-0.17433	
421	7.0181e-002	-0.19313	-0.19313	-0.19313	
422	7.0347e-002	-0.21095	-0.21095	-0.21095	
423	7.0514e-002	-0.22495	-0.22495	-0.22495	
424	7.0681e-002	-0.23268	-0.23268	-0.23268	
425	7.0847e-002	-0.23256	-0.23256	-0.23256	
426	7.1014e-002	-0.22412	-0.22412	-0.22412	
427	7.1181e-002	-0.20815	-0.20815	-0.20815	
428	7.1348e-002	-0.18659	-0.18659	-0.18659	
429	7.1514e-002	-0.16233	-0.16233	-0.16233	
430	7.1681e-002	-0.13876	-0.13876	-0.13876	
431	7.1848e-002	-0.11925	-0.11925	-0.11925	
432	7.2014e-002	-0.10667	-0.10667	-0.10667	
433	7.2181e-002	-0.10293	-0.10293	-0.10293	
434	7.2348e-002	-0.10866	-0.10866	-0.10866	
435	7.2514e-002	-0.12307	-0.12307	-0.12307	
436	7.2681e-002	-0.14406	-0.14406	-0.14406	
437	7.2848e-002	-0.16848	-0.16848	-0.16848	
438	7.3015e-002	-0.19265	-0.19265	-0.19265	
439	7.3181e-002	-0.21283	-0.21283	-0.21283	
440	7.3348e-002	-0.22587	-0.22587	-0.22587	
441	7.3515e-002	-0.22963	-0.22963	-0.22963	
442	7.3681e-002	-0.22337	-0.22337	-0.22337	
443	7.3848e-002	-0.20783	-0.20783	-0.20783	
444	7.4015e-002	-0.18512	-0.18512	-0.18512	
445	7.4181e-002	-0.15845	-0.15845	-0.15845	
446	7.4348e-002	-0.13158	-0.13158	-0.13158	
447	7.4515e-002	-0.10829	-0.10829	-0.10829	
448	7.4682e-002	-9.1827e-002	-9.1827e-002	-9.1827e-002	
449	7.4848e-002	-8.4382e-002	-8.4382e-002	-8.4382e-002	
450	7.5015e-002	-8.6788e-002	-8.6788e-002	-8.6788e-002	
451	7.5182e-002	-9.8396e-002	-9.8396e-002	-9.8396e-002	
452	7.5348e-002	-0.11719	-0.11719	-0.11719	
453	7.5515e-002	-0.14011	-0.14011	-0.14011	
454	7.5682e-002	-0.16352	-0.16352	-0.16352	
455	7.5848e-002	-0.18378	-0.18378	-0.18378	
456	7.6015e-002	-0.19779	-0.19779	-0.19779	
